city,latitude,longitude,year,weaptype1_txt,targtype1_txt
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Educational Institution
Baghdad,33.303567,44.371771,2015,Explosives,Business
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Mahmudiyah,33.057992,44.354838,2015,Explosives,Business
Baghdad,33.303567,44.371771,2015,Explosives,Business
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Fallujah,33.349159,43.784197,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Government (General)
Husseiniyah,33.548307,44.415735,2015,Explosives,Business
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Transportation
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Business
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Saba al-Bor,33.460821,44.157432,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Business
Latifiyah,32.982932,44.361597,2015,Explosives,Military
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Terrorists/Non-State Militia
Madain,33.100528,44.584493,2015,Explosives,Private Citizens & Property
Tarmiyah,33.66969,44.381316,2015,Explosives,Military
Mahmudiyah,33.057992,44.354838,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Tarmiyah,33.66969,44.381316,2015,Firearms,Military
Yusufiyah,33.07835,44.254721,2015,Explosives,Police
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Business
Baghdad,33.303567,44.371771,2015,Explosives,Religious Figures/Institutions
Mosul,36.354146,43.143571,2015,Firearms,Business
Baghdad,33.303567,44.371771,2015,Explosives,Business
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Business
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Madain,33.100528,44.584493,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Explosives,Educational Institution
Baghdad,33.303567,44.371771,2015,Explosives,Government (General)
Mahmudiyah,33.057992,44.354838,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Firearms,Police
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
Baghdad,33.303567,44.371771,2015,Firearms,Government (General)
Baghdad,33.303567,44.371771,2015,Explosives,Transportation
Baghdad,33.303567,44.371771,2015,Explosives,Religious Figures/Institutions
Baghdad,33.303567,44.371771,2015,Explosives,Private Citizens & Property
